5.336134453781512521e-01 & 5.336134453781512521e-01 & 5.336134453781512521e-01 & 5.058823529411764497e-01 & 5.239495798319326880e-01 & 5.336134453781512521e-01
5.806722689075629606e-01 & 5.962184873949579744e-01 & 6.054621848739495382e-01 & 5.478991596638655981e-01 & 5.613445378151260545e-01 & 5.605042016806722760e-01
6.894957983193277240e-01 & 6.899159663865546133e-01 & 6.941176470588235059e-01 & 6.357142857142855652e-01 & 6.403361344537813471e-01 & 6.403361344537813471e-01
7.172268907563026374e-01 & 7.214285714285714191e-01 & 7.256302521008404227e-01 & 6.550420168067226934e-01 & 6.352941176470586759e-01 & 6.499999999999999112e-01
7.357142857142856540e-01 & 7.306722689075630939e-01 & 7.327731092436975402e-01 & 7.079831932773108516e-01 & 7.084033613445377409e-01 & 7.121848739495798553e-01
7.382352941176471006e-01 & 7.373949579831933221e-01 & 7.478991596638655537e-01 & 7.071428571428570731e-01 & 7.075630252100839623e-01 & 7.113445378151259657e-01
7.558823529411764497e-01 & 7.546218487394957819e-01 & 7.613445378151260101e-01 & 7.386554621848739899e-01 & 7.462184873949579966e-01 & 7.445378151260504396e-01
7.651260504201680135e-01 & 7.680672268907562383e-01 & 7.739495798319326880e-01 & 7.420168067226891040e-01 & 7.399159663865546577e-01 & 7.495798319327731107e-01
7.861344537815126987e-01 & 7.831932773109243628e-01 & 7.941176470588235947e-01 & 7.579831932773108960e-01 & 7.634453781512604564e-01 & 7.642857142857142350e-01
8.084033613445378297e-01 & 8.071428571428571619e-01 & 8.079831932773109404e-01 & 7.827731092436974736e-01 & 7.936974789915967055e-01 & 7.936974789915967055e-01
8.130252100840336116e-01 & 8.105042016806722760e-01 & 8.121848739495798331e-01 & 7.936974789915967055e-01 & 7.945378151260504840e-01 & 7.995798319327731551e-01
8.050420168067227156e-01 & 8.079831932773109404e-01 & 8.075630252100840512e-01 & 7.941176470588235947e-01 & 7.932773109243698162e-01 & 7.970588235294118196e-01
8.361344537815125211e-01 & 8.285714285714285143e-01 & 8.306722689075629606e-01 & 8.163865546218487257e-01 & 8.088235294117647189e-01 & 8.151260504201680579e-01
8.403361344537815247e-01 & 8.407563025210084140e-01 & 8.411764705882353033e-01 & 8.142857142857142794e-01 & 8.176470588235293935e-01 & 8.180672268907562827e-01
8.592436974789917636e-01 & 8.634453781512606563e-01 & 8.605042016806724314e-01 & 8.357142857142856318e-01 & 8.369747899159664106e-01 & 8.420168067226890818e-01
8.542016806722688704e-01 & 8.630252100840337670e-01 & 8.626050420168066557e-01 & 8.336134453781511855e-01 & 8.432773109243696386e-01 & 8.466386554621848637e-01
8.613445378151262100e-01 & 8.668067226890757704e-01 & 8.617647058823530992e-01 & 8.499999999999999778e-01 & 8.609243697478993207e-01 & 8.537815126050419812e-01
8.642857142857144348e-01 & 8.705882352941177738e-01 & 8.714285714285715523e-01 & 8.563025210084035388e-01 & 8.546218487394959817e-01 & 8.567226890756304281e-01
8.747899159663866664e-01 & 8.731092436974791093e-01 & 8.714285714285715523e-01 & 8.579831932773108738e-01 & 8.542016806722690925e-01 & 8.571428571428573173e-01
8.735294117647059986e-01 & 8.718487394957984415e-01 & 8.785714285714286698e-01 & 8.663865546218488811e-01 & 8.600840336134455422e-01 & 8.672268907563026596e-01
8.777310924369748912e-01 & 8.781512605042017805e-01 & 8.789915966386555590e-01 & 8.567226890756304281e-01 & 8.668067226890757704e-01 & 8.567226890756304281e-01
8.852941176470588980e-01 & 8.869747899159664550e-01 & 8.886554621848740121e-01 & 8.659663865546219919e-01 & 8.693277310924371060e-01 & 8.697478991596639952e-01
8.936974789915966833e-01 & 8.873949579831933443e-01 & 8.928571428571429047e-01 & 8.726890756302522201e-01 & 8.668067226890757704e-01 & 8.739495798319328879e-01
8.941176470588235725e-01 & 8.873949579831933443e-01 & 8.907563025210084584e-01 & 8.768907563025211127e-01 & 8.726890756302522201e-01 & 8.789915966386555590e-01
8.911764705882353477e-01 & 8.915966386554622369e-01 & 8.928571428571429047e-01 & 8.680672268907564382e-01 & 8.760504201680673342e-01 & 8.773109243697480020e-01
8.962184873949580188e-01 & 8.907563025210084584e-01 & 8.945378151260504618e-01 & 8.789915966386555590e-01 & 8.781512605042017805e-01 & 8.798319327731093376e-01
8.932773109243697940e-01 & 8.957983193277311296e-01 & 8.945378151260504618e-01 & 8.760504201680673342e-01 & 8.781512605042017805e-01 & 8.831932773109244517e-01
8.987394957983193544e-01 & 8.970588235294117974e-01 & 8.949579831932773510e-01 & 8.760504201680673342e-01 & 8.781512605042017805e-01 & 8.840336134453782302e-01
8.903361344537815691e-01 & 8.995798319327731329e-01 & 8.983193277310924652e-01 & 8.689075630252102167e-01 & 8.836134453781513409e-01 & 8.798319327731093376e-01
8.966386554621849081e-01 & 8.957983193277311296e-01 & 8.962184873949580188e-01 & 8.802521008403362268e-01 & 8.764705882352942234e-01 & 8.844537815126051195e-01
8.932773109243697940e-01 & 8.945378151260504618e-01 & 8.941176470588235725e-01 & 8.705882352941177738e-01 & 8.731092436974791093e-01 & 8.794117647058824483e-01
