0.534 & 0.534 & 0.534 & 0.506 & 0.524 & 0.534
0.581 & 0.596 & 0.605 & 0.548 & 0.561 & 0.561
0.689 & 0.690 & 0.694 & 0.636 & 0.640 & 0.640
0.717 & 0.721 & 0.726 & 0.655 & 0.635 & 0.650
0.736 & 0.731 & 0.733 & 0.708 & 0.708 & 0.712
0.738 & 0.737 & 0.748 & 0.707 & 0.708 & 0.711
0.756 & 0.755 & 0.761 & 0.739 & 0.746 & 0.745
0.765 & 0.768 & 0.774 & 0.742 & 0.740 & 0.750
0.786 & 0.783 & 0.794 & 0.758 & 0.763 & 0.764
0.808 & 0.807 & 0.808 & 0.783 & 0.794 & 0.794
0.813 & 0.811 & 0.812 & 0.794 & 0.795 & 0.800
0.805 & 0.808 & 0.808 & 0.794 & 0.793 & 0.797
0.836 & 0.829 & 0.831 & 0.816 & 0.809 & 0.815
0.840 & 0.841 & 0.841 & 0.814 & 0.818 & 0.818
0.859 & 0.863 & 0.861 & 0.836 & 0.837 & 0.842
0.854 & 0.863 & 0.863 & 0.834 & 0.843 & 0.847
0.861 & 0.867 & 0.862 & 0.850 & 0.861 & 0.854
0.864 & 0.871 & 0.871 & 0.856 & 0.855 & 0.857
0.875 & 0.873 & 0.871 & 0.858 & 0.854 & 0.857
0.874 & 0.872 & 0.879 & 0.866 & 0.860 & 0.867
0.878 & 0.878 & 0.879 & 0.857 & 0.867 & 0.857
0.885 & 0.887 & 0.889 & 0.866 & 0.869 & 0.870
0.894 & 0.887 & 0.893 & 0.873 & 0.867 & 0.874
0.894 & 0.887 & 0.891 & 0.877 & 0.873 & 0.879
0.891 & 0.892 & 0.893 & 0.868 & 0.876 & 0.877
0.896 & 0.891 & 0.895 & 0.879 & 0.878 & 0.880
0.893 & 0.896 & 0.895 & 0.876 & 0.878 & 0.883
0.899 & 0.897 & 0.895 & 0.876 & 0.878 & 0.884
0.890 & 0.900 & 0.898 & 0.869 & 0.884 & 0.880
0.897 & 0.896 & 0.896 & 0.880 & 0.876 & 0.884
0.893 & 0.895 & 0.894 & 0.871 & 0.873 & 0.879
